"13rb -- Sähkön hinta kuluttajatyypeittäin, 2008M01-2024M06"

"Kuukausi";"Hintakomponentti";"Sähkön kuluttajatyyppi";"Hinta, vuosimuutos (%)"
"2009M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";0.5
"2009M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-1.7
"2009M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";4.0
"2009M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";3.1
"2009M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.1
"2009M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";2.2
"2009M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-0.4
"2009M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-4.7
"2009M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";1.6
"2009M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-0.9
"2009M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.8
"2009M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";0.2
"2009M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-1.6
"2009M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-4.3
"2009M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-0.9
"2009M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-2.1
"2009M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-0.5
"2009M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-0.7
"2009M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-5.8
"2009M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";0.4
